City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,14.16,82,0,7.2,ZA,2023-08-08 03:33:31
1,port-aux-francais,-49.35,70.2167,2.87,75,38,15.71,TF,2023-08-08 03:33:31
2,blackmans bay,-43.0167,147.3167,14.18,59,17,1.76,AU,2023-08-08 03:33:32
3,barreiro do jaiba,-15.6167,-43.6,21.43,42,28,0.93,BR,2023-08-08 03:33:32
4,faya-largeau,17.9257,19.1043,29.91,53,45,3.59,TD,2023-08-08 03:33:33
5,iqaluit,63.7506,-68.5145,5.85,93,75,1.54,CA,2023-08-08 03:29:26
6,lisala,2.15,21.5167,20.9,94,100,0.86,CD,2023-08-08 03:33:34
7,adamstown,-25.066,-130.1015,21.16,75,55,5.41,PN,2023-08-08 03:33:34
8,grytviken,-54.2811,-36.5092,-6.79,81,15,4.44,GS,2023-08-08 03:33:35
9,margaret river,-33.95,115.0667,14.55,79,95,10.19,AU,2023-08-08 03:33:35
10,haiku-pauwela,20.9219,-156.3051,28.61,63,20,13.38,US,2023-08-08 03:33:36
11,petropavlovsk-kamchatsky,53.0452,158.6483,23.33,41,0,2.0,RU,2023-08-08 03:33:37
12,vilyuysk,63.7553,121.6247,27.0,32,1,4.26,RU,2023-08-08 03:33:38
13,waitangi,-43.9535,-176.5597,10.46,82,100,0.89,NZ,2023-08-08 03:33:38
14,olonkinbyen,70.9221,-8.7187,4.13,80,100,2.52,SJ,2023-08-08 03:33:39
15,bikin,46.8161,134.26,26.45,44,86,2.01,RU,2023-08-08 03:33:40
16,isafjordur,66.0755,-23.124,10.35,58,81,0.65,IS,2023-08-08 03:33:40
17,edinburgh of the seven seas,-37.0676,-12.3116,14.7,77,84,19.05,SH,2023-08-08 03:33:41
18,talnakh,69.4865,88.3972,19.56,56,100,2.12,RU,2023-08-08 03:33:41
19,wailua homesteads,22.0669,-159.378,29.24,80,40,8.75,US,2023-08-08 03:33:42
20,chibougamau,49.9168,-74.3659,17.79,77,100,3.6,CA,2023-08-08 03:32:20
21,ta`u,-14.2336,-169.5144,27.12,74,89,4.66,AS,2023-08-08 03:33:43
22,eastham,41.8301,-69.9739,22.19,83,40,4.12,US,2023-08-08 03:33:44
23,berezovyy,51.6667,135.7,28.7,26,87,2.64,RU,2023-08-08 03:33:44
24,bethel,41.3712,-73.414,24.17,87,40,2.57,US,2023-08-08 03:29:02
25,elista,46.3078,44.2558,27.29,61,0,5.0,RU,2023-08-08 03:33:47
26,daru,-9.0763,143.2092,24.78,79,65,6.74,PG,2023-08-08 03:33:47
27,keflavik,64.0049,-22.5624,10.95,93,75,1.03,IS,2023-08-08 03:33:48
28,gadzhiyevo,69.2551,33.3362,15.33,67,32,6.5,RU,2023-08-08 03:33:48
29,l'govskiy,51.6307,35.2775,15.66,88,0,2.93,RU,2023-08-08 03:33:49
30,east london,-33.0153,27.9116,12.52,94,0,1.54,ZA,2023-08-08 03:33:49
31,vuktyl,63.8567,57.3094,16.48,71,32,3.56,RU,2023-08-08 03:33:50
32,punta del este,-34.9667,-54.95,8.26,82,0,2.06,UY,2023-08-08 03:32:00
33,dingli,35.8614,14.3822,21.09,83,20,3.6,MT,2023-08-08 03:33:51
34,la passe,45.5549,-0.8967,13.88,72,32,2.24,FR,2023-08-08 03:33:51
35,waingapu,-9.6567,120.2641,28.11,57,8,8.56,ID,2023-08-08 03:33:52
36,avarua,-21.2078,-159.775,23.03,68,40,1.54,CK,2023-08-08 03:34:00
37,bilibino,68.0546,166.4372,10.74,55,78,1.08,RU,2023-08-08 03:34:02
38,singaraja,-8.112,115.0882,28.89,54,36,2.29,ID,2023-08-08 03:34:02
39,kidal,18.4411,1.4078,31.88,39,4,2.73,ML,2023-08-08 03:34:03
40,vilyuchinsk,52.9306,158.4028,24.15,56,4,3.86,RU,2023-08-08 03:34:04
41,saint-philippe,-21.3585,55.7679,20.77,71,41,4.92,RE,2023-08-08 03:34:05
42,olyokminsk,60.3736,120.4264,30.33,33,2,3.7,RU,2023-08-08 03:34:06
43,bluefields,12.0137,-83.7635,25.43,93,100,2.63,NI,2023-08-08 03:34:07
44,punta arenas,-53.15,-70.9167,1.89,66,100,2.89,CL,2023-08-08 03:31:21
45,namdrik,5.5994,168.1028,25.72,90,100,7.91,MH,2023-08-08 03:34:09
46,katsuura,35.1333,140.3,29.34,75,98,3.91,JP,2023-08-08 03:31:18
47,el galpon,-25.3807,-64.6526,13.02,32,67,1.73,AR,2023-08-08 03:34:11
48,vila velha,-20.3297,-40.2925,21.97,92,0,3.6,BR,2023-08-08 03:34:11
49,khovd,48.0056,91.6419,23.23,38,100,3.97,MN,2023-08-08 03:34:12
50,port mathurin,-19.6833,63.4167,22.42,64,34,10.51,MU,2023-08-08 03:34:13
51,kingston,17.997,-76.7936,29.53,77,20,2.57,JM,2023-08-08 03:32:21
52,albany,42.6001,-73.9662,22.55,92,100,4.14,US,2023-08-08 03:29:25
53,novoagansk,61.9449,76.6625,20.34,50,58,3.8,RU,2023-08-08 03:34:14
54,livingstonia,-10.606,34.1063,13.95,78,1,0.88,MW,2023-08-08 03:34:15
55,lebu,-37.6167,-73.65,9.8,78,98,0.89,CL,2023-08-08 03:34:15
56,kismayo,-0.3582,42.5454,24.4,83,43,6.59,SO,2023-08-08 03:34:16
57,petukhovo,55.0692,67.9019,22.7,42,100,2.03,RU,2023-08-08 03:34:16
58,west island,-12.1568,96.8225,26.99,78,75,5.66,CC,2023-08-08 03:34:17
59,buala,-8.145,159.5921,27.19,81,86,2.35,SB,2023-08-08 03:34:18
60,moyynkum,44.2914,72.9469,29.73,29,77,4.52,KZ,2023-08-08 03:34:18
61,hastings,50.8552,0.5729,13.21,45,98,4.78,GB,2023-08-08 03:29:35
62,gulf shores,30.246,-87.7008,30.19,73,0,4.12,US,2023-08-08 03:34:20
63,carnarvon,-24.8667,113.6333,24.08,58,62,2.5,AU,2023-08-08 03:34:20
64,bredasdorp,-34.5322,20.0403,11.34,92,15,2.85,ZA,2023-08-08 03:34:21
65,hermanus,-34.4187,19.2345,12.11,90,66,4.07,ZA,2023-08-08 03:34:22
66,puerto natales,-51.7236,-72.4875,-0.44,86,100,1.01,CL,2023-08-08 03:32:29
67,atafu village,-8.5421,-172.5159,28.37,71,26,6.28,TK,2023-08-08 03:34:23
68,qaqortoq,60.7167,-46.0333,4.86,88,4,1.36,GL,2023-08-08 03:34:23
69,tucurui,-3.7661,-49.6725,24.62,74,19,1.35,BR,2023-08-08 03:34:24
70,margate,51.3813,1.3862,12.39,85,67,1.34,GB,2023-08-08 03:31:44
71,yellowknife,62.456,-114.3525,16.29,59,75,3.09,CA,2023-08-08 03:30:05
72,monywa,22.1167,95.1333,27.42,79,100,4.28,MM,2023-08-08 03:34:26
73,aykhal,66.0,111.5,22.42,34,71,4.96,RU,2023-08-08 03:34:26
74,barguzin,53.6167,109.6167,24.72,45,19,3.08,RU,2023-08-08 03:34:27
75,baise city,23.8997,106.6133,27.23,93,97,1.19,CN,2023-08-08 03:34:28
76,nova vicosa,-17.8919,-39.3719,21.97,85,0,4.12,BR,2023-08-08 03:34:29
77,riosucio,5.4216,-75.7032,15.56,95,100,0.58,CO,2023-08-08 03:34:30
78,hawaiian paradise park,19.5933,-154.9731,27.73,79,75,4.63,US,2023-08-08 03:33:03
79,sinabang,2.4803,96.3801,25.3,86,100,0.9,ID,2023-08-08 03:34:31
80,invercargill,-46.4,168.35,7.79,78,87,5.36,NZ,2023-08-08 03:34:32
81,enewetak,11.3474,162.3373,27.69,79,100,3.9,MH,2023-08-08 03:34:32
82,constantia,44.1833,28.65,20.39,56,18,7.41,RO,2023-08-08 03:34:33
83,ilulissat,69.2167,-51.1,6.01,70,23,0.0,GL,2023-08-08 03:34:33
84,utrik,11.2278,169.8474,28.45,74,58,8.9,MH,2023-08-08 03:34:34
85,jamestown,42.097,-79.2353,18.64,96,100,5.14,US,2023-08-08 03:29:55
86,sekong,-6.3996,106.0252,32.26,52,81,0.12,ID,2023-08-08 03:34:35
87,uturoa,-16.7333,-151.4333,25.92,72,86,2.34,PF,2023-08-08 03:34:35
88,ushuaia,-54.8,-68.3,1.81,87,0,2.06,AR,2023-08-08 03:34:36
89,salalah,17.0151,54.0924,26.05,94,100,4.12,OM,2023-08-08 03:34:36
90,kavieng,-2.5744,150.7967,28.44,69,82,4.77,PG,2023-08-08 03:34:38
91,itaituba,-4.2761,-55.9836,26.53,52,90,0.74,BR,2023-08-08 03:34:38
92,tarauaca,-8.1614,-70.7656,25.55,65,61,1.14,BR,2023-08-08 03:34:39
93,ust-nera,64.5667,143.2,15.87,28,91,1.94,RU,2023-08-08 03:34:39
94,selfoss,63.9331,-20.9971,10.58,88,99,2.01,IS,2023-08-08 03:34:40
95,longyearbyen,78.2186,15.6401,6.91,81,40,5.66,SJ,2023-08-08 03:34:40
96,watampone,-4.5386,120.3279,28.86,59,9,4.99,ID,2023-08-08 03:34:41
97,nova sintra,14.8667,-24.7167,21.95,78,40,6.54,CV,2023-08-08 03:34:42
98,khandyga,62.6667,135.6,22.54,28,78,1.99,RU,2023-08-08 03:34:42
99,vorgashor,67.5833,63.95,13.58,73,96,5.66,RU,2023-08-08 03:34:42
100,ust-kamenogorsk,49.9789,82.6103,20.96,68,100,3.13,KZ,2023-08-08 03:34:43
